"TouristSpotId","Name","Address","SourceTitle","ImageUrl","SourcePageUrl","ImageStatus","ImageType","PageStatus","NameInPage","LocalityInPage"
"27623","성북선잠박물관","서울특별시 성북구 성북로 96 (성북동)","성북선잠박물관> 여행지 :대한민국 구석구석 성북선잠박물관> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9f3a829b-7c78-48db-b8e3-2dfe63239e6e","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6f7ebdf3-bfdc-44d8-886d-569379fbde18","200","image/jpeg","200","True","False"
"27631","채만식 문학관","전북특별자치도 군산시 강변로 449","채만식 문학관> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9cfe2940-eadb-4c0d-a31b-96508068738b","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f3336c6b-ab5b-4097-815b-525e3974b69a","200","image/jpeg","200","True","False"
"27659","동강서원","경상북도 경주시 강동면 유금강정길 40-25","(인쇄용) 동강서원 | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e48ff6dd-95f5-4419-938f-028815584d86","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=d775cf17-2654-461a-8f90-cc89afc0986f","200","image/jpeg","200","True","False"
"27757","옥병서원","경기도 포천시 창수면 옥수로327번길 195","옥병서원> 여행지 :대한민국 구석구석 옥병서원> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a5d658c0-86db-41f5-8cf8-83d435d96184","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fa65469f-f6e7-4bba-9bfa-da12f48f2f32","200","image/jpeg","200","True","True"
"27798","귀암사","충청남도 금산군 부리면 평촌1길 2","귀암사> 여행지 :대한민국 구석구석 귀암사> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=90c4460a-cd54-413f-8178-354a7ce360cb","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ede109bf-f9b5-44e7-959e-e4002813e25a","200","image/jpeg","200","True","False"
"27991","함양향교","경상남도 함양군 함양읍 원교길 50","함양향교> 여행지 :대한민국 구석구석 함양향교> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ef050412-5df8-4885-b824-4994b1c8166f","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2c4781a6-99c8-406b-bb61-3952b1e778be","200","","200","True","True"
"28180","거제민속박물관","경상남도 거제시 대금산로 339-7 거제민속박물관","거제민속박물관> 여행지 :대한민국 구석구석 거제민속박물관> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3a5e3893-8f90-450f-9e96-46364ea9e2cb","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d2ba25e4-a9fa-4bc5-a94e-4482f6fd464e","200","image/jpeg","200","True","False"
"28208","라디오스타박물관","강원특별자치도 영월군 영월읍 금강공원길 84-3","라디오스타박물관> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b1693fe7-1d98-477e-a80e-63eb74484f56","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d474b290-099c-4d88-8ce6-d52196e14746","200","image/jpeg","200","True","False"
"28384","송호서원(합천)","경상남도 합천군 대병면 신성동2길 22-3","송호서원> 여행지 :대한민국 구석구석 송호서원> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aef31c9e-ba63-4bf5-8f84-564730a04cde","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8d78a7b8-f963-4039-9d14-51a59ef4cc6d","200","image/jpeg","200","True","False"
"28635","성마루미술관","충청북도 충주시 대소원면 장성길 38-1","(인쇄용) 성마루미술관 | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c6c7d24f-5369-4e17-b7b2-e772e0266c1b","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=9ee42217-c2c0-4e1d-b8e2-4f8f2a08cca5","200","image/jpeg","200","True","False"
"28869","화산서원(장수)","전북특별자치도 장수군 계남면 화산길 24-21","화산서원(익산)> 여행지 :대한민국 구석구석 화산서원(익산)> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c283a97f-abce-4ad3-a0ac-a8bc80caa6ee","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=660c663f-2ee4-4cd5-bc4d-92045b95886f","200","image/jpeg","200","True","False"
"29016","명성산성(울음산성)","강원특별자치도 철원군 갈말읍 명성산","(인쇄용) 명성산성(울음산성) | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c4450313-44ad-44cb-a442-8ba1ddeac0bc","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=f14461fd-4d2b-4faf-b55e-ca06290e2669","200","image/jpeg","200","True","True"
"29705","조은숙아트앤라이프스타일","서울특별시 강남구 압구정로80길 37 (청담동)","조은숙아트앤라이프스타일> 여행지 :대한민국 구석구석 조은숙아트앤라이프스타일> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=493f25c8-5a65-461d-8b42-858fade2c7df","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=47d7fed3-d7ae-43a9-a3aa-0546b7370956","200","image/jpeg","200","True","False"
"30150","금산 백령성","충청남도 금산군 남이면 역평리","(인쇄용) 금산 백령성 | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ba23dd47-19fb-49ad-8713-b890a66aafbe","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=1beb007e-f1f8-4fff-97c8-4ee9244684e5","200","image/jpeg","200","True","True"
"30155","제천 청풍향교","충청북도 제천시 청풍면 청풍호로 2048","(인쇄용) 제천 청풍향교 | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b82e9472-62bf-434d-80d1-6b4ca8a26c03","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=1e7104f8-626f-4cee-ac92-1cf6909f5b3e","200","image/jpeg","200","True","False"
