"TouristSpotId","TourApiContentId","Name","Address","Status","ImageUrl","SourcePageUrl","SourceTitle","ProviderHost","HttpStatus","ContentType","VerifiedAt","Notes"
"24297","3543287","신사임당사친시비","강원특별자치도 강릉시 성산면 삼포암길 133","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"24822","1612615","모명재","대구광역시 수성구 달구벌대로525길 14-23 (만촌동)","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"24872","2551494","홍주성역사관","충청남도 홍성군 홍성읍 아문길 20","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"25029","3079415","홍주천년기념탑","충청남도 홍성군 홍성읍 옥암리","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"25284","1955169","함창향교","경상북도 상주시 함창읍 무운로 1557-4","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/80/3019280_image2_1.jpg","http://www.koreatriptips.com/location.html?mapX=128.1559790113&mapY=36.5766009195","함창향교 - 주변 여행 및 근처 관광 명소 - 국내 여행 정보와 관광 명소 정보","www.koreatriptips.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 140"
"25530","1337616","태백 고생대 자연사박물관","강원특별자치도 태백시 태백로 2249 (동점동)","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"25766","130685","자유수호평화박물관","경기도 동두천시 평화로2910번길 96-63","APPROVED_OFFICIAL_WEB","https://www.ddc.go.kr/museum/downloadBbsFile.do?atchmnflNo=216566","https://www.ddc.go.kr/museum/selectBbsNttView.do?key=878&bbsNo=96&nttNo=158684","알림마당 - 동두천시 자유수호평화박물관","www.ddc.go.kr","200","image/jpeg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 145"
"26487","1959820","상봉서원","경상남도 함안군 칠원읍 유원1길 32","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"26488","1959891","예강서원","경상남도 김해시 진례면 진례로311번길 107","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"26515","2669992","산청 이사재","경상남도 산청군 단성면 상동길 77","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"26516","2701896","평창지동봉가옥","강원특별자치도 평창군 평창읍 천동길 160","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"26674","1578586","모리재","경상남도 거창군 북상면 강선대길 96-326","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"26723","2773288","롯데뮤지엄","서울특별시 송파구 올림픽로 300 (신천동)","APPROVED_TOURAPI_INDEX","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c763e72e-80e9-4e61-a063-7734b651b84e","https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=1e74930c-b976-4b14-aa6b-6ef3c7c464fa","춘(春)고마비, 롯데뮤지엄에서 서울스카이까지> 여행기사 :대한민국 구석구석 춘(春)고마비, 롯데뮤지엄에서 서울스카이까지> 여행기사 :대한민국...","korean.visitkorea.or.kr","200","image/jpeg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 125"
"26775","2993536","기기국 번사창","서울특별시 종로구 삼청로 118 (삼청동)","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"26778","3017254","부산 연산동 고분군","부산광역시 연제구 연산동","APPROVED_OFFICIAL_WEB","https://devin.aks.ac.kr/image/edeae2fa-a664-4776-b812-3cc29b1f61f6?preset=orig","https://encykorea.aks.ac.kr/Article/E0036807","부산 연산동 고분군 - 한국민족문화대백과사전 부산 연산동 고분군","encykorea.aks.ac.kr","200","image/webp","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 125"
"26841","3076682","성북구립 최만린미술관","서울특별시 성북구 솔샘로7길 23 (정릉동)","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"26881","129821","경남대학교 박물관","경상남도 창원시 마산합포구 경남대학로 7","APPROVED_OFFICIAL_WEB","https://www.kyungnam.ac.kr/CrossEditor/binary/images/000291/IMG_9863_1.jpeg","https://www.kyungnam.ac.kr/mil/5019/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGbWlsJTJGOTI2JTJGMTYwMjQxJTJGYXJ0Y2xWaWV3LmRvJTNG","포토게시판 - 경남대학교 박물관 견학","www.kyungnam.ac.kr","206","image/jpeg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 125"
