"TouristSpotId","Name","ImageUrl","SourcePageUrl","LicenseCode","LicenseUrl","Provider","Attribution","VerifiedAt","Notes"
"25029","홍주천년기념탑","https://tong.visitkorea.or.kr/cms/resource/12/3079412_image2_1.jpg","https://www.korearank.com/tour/tour_detail.php?uid=88240","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 홍주천년기념탑 (2026) - 충청남도 홍성군 가볼만한곳 - 관광지랭킹"
"26487","상봉서원","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=765d27d6-30a3-4e85-aa86-c8684582fe87","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=065b2fe3-49ab-4262-b9f5-5fe43f9e1e84","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 상봉서원> 여행지 :대한민국 구석구석 상봉서원> 여행지 :대한민국 구석구석"
"26515","산청 이사재","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2a0206d4-a561-48f8-9671-c07893cafd5d","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=d1197ca9-07f1-4d65-af78-69753fbb25dd","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: (인쇄용) 산청 이사재 | 대한민국 구석구석"
"26516","평창지동봉가옥","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=150c944d-dc3e-4577-bc29-32335c42191c","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=a697672c-97b1-43aa-ba91-e61c73a2a747","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: (인쇄용) 평창지동봉가옥 | 대한민국 구석구석"
"27412","홍천향교","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d8961061-488b-474b-b948-3801a2e03ff7","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2d14da16-143f-4d1a-ae81-df05c89376a4","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 홍천향교> 여행지 :대한민국 구석구석 홍천향교> 여행지 :대한민국 구석구석"
"27623","성북선잠박물관","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9f3a829b-7c78-48db-b8e3-2dfe63239e6e","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6f7ebdf3-bfdc-44d8-886d-569379fbde18","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 성북선잠박물관> 여행지 :대한민국 구석구석 성북선잠박물관> 여행지 :대한민국 구석구석"
"27631","채만식 문학관","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9cfe2940-eadb-4c0d-a31b-96508068738b","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=f3336c6b-ab5b-4097-815b-525e3974b69a","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 채만식 문학관> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석"
"27659","동강서원","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e48ff6dd-95f5-4419-938f-028815584d86","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=d775cf17-2654-461a-8f90-cc89afc0986f","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: (인쇄용) 동강서원 | 대한민국 구석구석"
"27757","옥병서원","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a5d658c0-86db-41f5-8cf8-83d435d96184","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=fa65469f-f6e7-4bba-9bfa-da12f48f2f32","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 옥병서원> 여행지 :대한민국 구석구석 옥병서원> 여행지 :대한민국 구석구석"
"27798","귀암사","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=90c4460a-cd54-413f-8178-354a7ce360cb","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ede109bf-f9b5-44e7-959e-e4002813e25a","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 귀암사> 여행지 :대한민국 구석구석 귀암사> 여행지 :대한민국 구석구석"
